site,name,room,type,floor,analyte,conc.,category,site typ,OSHA 8hr,season,year,city,zip
040,Teaching Tree,Frogs,classroom,01,isopropylbenzene,0.018,btex,school/day program,49839.83692,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,n-propylbenzene,0.011,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,3-ethyltoluene,0.024,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,4-ethyltoluene,0.018,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"1,3,5-trimethylbenzene",0.021,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,2-ethyltoluene,0.019,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"1,2,4-trimethylbenzene",0.054,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,n-decane,0.878,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"1,2,3-trimethylbenzene",0.021,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"1,3-diethylbenzene",0.002,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"1,4-diethylbenzene",0.006,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,C2HCl3,0,chlorinted,school/day program,99936.4439,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,C2Cl4,480.9,chlorinted,school/day program,99982.50905,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,acetonitrile,0.573,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,acetaldehyde,7.196,aldehyde,school/day program,199818.3882,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,acetone,8.827,ketone,school/day program,1010330.579,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,isopropanol,13.466,alcohol,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,methylethylketone,0.592,other,school/day program,200048.537,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,butanol,1.187,alcohol,school/day program,98961.14409,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,a-pinene,0.099,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,b-pinene,0.05,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,limonene,2.726,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,camphene,0.028,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,methane,2.52,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,ethane,32.232,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,ethene,10.145,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,propane,19.259,straight chain,school/day program,997959.1837,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,propene,0.475,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,i-butane,13.841,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,n-butane,3.329,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,ethyne,6.299,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,t-2-butene,0.033,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,1-butene,0.055,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,c-2-butene,0.025,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,cyclopentane,0.176,aromatic,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,i-pentane,2.665,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,n-pentane,1.38,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,t-2-pentene,0.002,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,1-pentene,0.007,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,cis-2-pentene,0.007,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,n-hexane,0.317,straight chain,school/day program,510675.3307,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,isoprene,0.332,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,"2,4 dimethylpentane",0.007,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,n-heptane,0.463,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,benzene,0.228,btex,school/day program,998.5341186,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,cyclohexane,0.037,aromatic,school/day program,305043.9639,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,"2,3-dimethylpentane",0.097,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,2-methylhexane,0.047,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,3-methylhexane,0.112,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,"2,2,4-trimethylpentane",0.025,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,methylcyclohexane,0.05,aromatic,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,"2,3,4-trimethylpentane",0.006,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,toluene,0.54,btex,school/day program,200079.2273,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,2-methylheptane,0.033,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,3-methylheptane,0.022,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,n-octane,0.104,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,ethylbenzene,0.052,btex,school/day program,100186.0399,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,m+p-xylene,0.192,btex,school/day program,100176.6036,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,styrene,0.064,other,school/day program,100006.7211,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,o-xylene,0.074,btex,school/day program,100186.0399,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,n-nonane,0.041,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,isopropylbenzene,0.017,btex,school/day program,49839.83692,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,n-propylbenzene,0.008,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,3-ethyltoluene,0.016,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,4-ethyltoluene,0.012,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,"1,3,5-trimethylbenzene",0.013,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,2-ethyltoluene,0.01,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,"1,2,4-trimethylbenzene",0.05,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,n-decane,0.222,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,"1,2,3-trimethylbenzene",0.013,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,"1,3-diethylbenzene",0.005,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,"1,4-diethylbenzene",0.004,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,C2HCl3,624.5,chlorinted,school/day program,99936.4439,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,C2Cl4,340.1,chlorinted,school/day program,99982.50905,fall,2023,Fort Collins,80524
